Country,Date,Device Category,Key Actions,Page Path,Source,Avg Session Duration,Bounce Rate,Conversions,New Users,Page Views,Returning Users,Unique Page Views
Australia,2/5/2019 1:50:37 AM,Tablet,Purchase,/home,Social Media,32,50,18,112,1359,453,234
Canada,2/5/2019 3:14:10 PM,Mobile,Sign Up,/contact,Direct,44,25,18,965,1964,349,680
Canada,2/5/2019 4:22:08 PM,Desktop,Purchase,/products,Organic Search,173,32,42,77,1028,20,110
India,2/6/2019 1:26:31 AM,Desktop,Download,/blog,Referral,53,57,12,533,166,131,678
Canada,2/6/2019 8:30:03 PM,Tablet,Sign Up,/home,Referral,154,53,42,235,1163,215,1279
India,2/6/2019 9:40:12 PM,Mobile,Contact Form,/blog,Paid Search,82,25,34,451,865,289,989
UK,2/7/2019 12:55:54 AM,Desktop,Sign Up,/home,Organic Search,101,33,47,671,1364,330,452
Canada,2/7/2019 2:21:17 AM,Desktop,Download,/home,Paid Search,92,55,44,821,542,121,1456
USA,2/7/2019 5:15:30 AM,Tablet,Subscribe,/products,Social Media,62,42,42,514,1762,460,1171
USA,2/8/2019 11:45:44 AM,Desktop,Sign Up,/home,Paid Search,144,42,18,268,681,432,892
UK,2/9/2019 4:38:39 PM,Tablet,Subscribe,/contact,Referral,58,57,0,79,1780,226,379
USA,2/9/2019 5:15:54 PM,Mobile,Subscribe,/about,Organic Search,164,31,18,705,207,450,1075
UK,2/10/2019 3:32:41 PM,Mobile,Subscribe,/home,Social Media,73,69,27,133,949,385,692
USA,2/10/2019 7:14:43 PM,Mobile,Sign Up,/blog,Paid Search,146,64,37,714,951,384,706
Canada,2/10/2019 7:51:00 PM,Mobile,Download,/contact,Organic Search,67,64,37,709,1676,147,999
Canada,2/11/2019 7:47:48 PM,Tablet,Subscribe,/home,Direct,105,60,26,783,109,441,758
UK,2/12/2019 8:19:07 PM,Mobile,Purchase,/about,Social Media,103,53,11,623,1947,248,1308
Australia,2/12/2019 10:19:46 PM,Tablet,Subscribe,/blog,Direct,62,56,6,967,1593,138,860
Australia,2/13/2019 9:04:09 AM,Tablet,Purchase,/about,Organic Search,67,47,5,813,462,79,235
UK,2/13/2019 3:29:36 PM,Mobile,Subscribe,/contact,Referral,125,66,6,307,1632,341,493
India,2/14/2019 7:59:31 PM,Mobile,Sign Up,/contact,Direct,136,37,43,340,1634,308,465
Canada,2/14/2019 10:29:31 PM,Desktop,Sign Up,/products,Organic Search,106,48,25,203,380,357,451
Canada,2/14/2019 11:16:37 PM,Mobile,Sign Up,/home,Organic Search,121,52,13,40,537,288,1111
UK,2/15/2019 5:26:49 AM,Tablet,Contact Form,/home,Social Media,81,51,44,269,1071,438,1486
Canada,2/15/2019 11:50:42 AM,Tablet,Contact Form,/about,Referral,75,44,18,19,428,263,270
USA,2/15/2019 11:58:58 AM,Tablet,Sign Up,/contact,Paid Search,84,22,25,639,1524,61,1337
Canada,2/15/2019 3:08:05 PM,Tablet,Download,/contact,Social Media,38,34,20,770,1643,173,617
India,2/16/2019 6:31:20 AM,Tablet,Download,/blog,Organic Search,91,22,35,225,1674,42,248
India,2/16/2019 10:34:15 PM,Tablet,Subscribe,/blog,Paid Search,169,58,36,707,927,128,1049
UK,2/17/2019 4:23:59 AM,Tablet,Subscribe,/contact,Paid Search,131,40,48,595,520,108,236
Canada,2/17/2019 9:30:09 AM,Desktop,Purchase,/contact,Organic Search,107,31,48,864,906,192,1418
Australia,2/17/2019 11:55:53 PM,Tablet,Purchase,/products,Paid Search,47,39,41,543,1354,402,1420
India,2/18/2019 3:40:22 AM,Desktop,Sign Up,/contact,Direct,115,65,34,34,125,139,106
India,2/18/2019 9:10:10 PM,Tablet,Subscribe,/contact,Organic Search,145,26,12,715,439,392,382
USA,2/19/2019 3:32:15 AM,Mobile,Sign Up,/products,Paid Search,125,20,29,829,412,54,78
Australia,2/19/2019 11:18:48 AM,Mobile,Purchase,/contact,Referral,159,44,38,326,185,441,631
UK,2/19/2019 1:12:15 PM,Mobile,Download,/blog,Referral,146,53,8,966,228,343,615
Canada,2/19/2019 2:07:32 PM,Tablet,Contact Form,/home,Direct,144,53,42,502,298,362,726
Canada,2/20/2019 9:33:17 PM,Desktop,Contact Form,/contact,Paid Search,175,50,20,706,1088,143,922
USA,2/21/2019 3:43:21 AM,Desktop,Contact Form,/blog,Paid Search,104,36,44,182,233,486,450
UK,2/21/2019 1:21:25 PM,Tablet,Sign Up,/blog,Organic Search,144,30,46,763,1018,446,1149
Australia,2/22/2019 8:33:39 AM,Desktop,Purchase,/home,Social Media,48,53,16,554,1152,345,208
UK,2/22/2019 2:50:23 PM,Mobile,Subscribe,/about,Referral,69,52,21,405,1262,122,388
Canada,2/23/2019 2:24:57 PM,Desktop,Purchase,/home,Direct,117,35,39,552,1541,496,1105
India,2/23/2019 9:47:09 PM,Tablet,Contact Form,/blog,Social Media,175,62,3,841,487,76,871
India,2/24/2019 3:16:06 AM,Mobile,Download,/products,Organic Search,164,37,29,962,1678,172,1151
UK,2/25/2019 5:22:12 AM,Tablet,Sign Up,/blog,Paid Search,68,29,14,948,1191,484,326
Canada,2/25/2019 9:30:00 AM,Tablet,Download,/about,Social Media,89,60,17,526,458,19,155
Canada,2/25/2019 8:32:49 PM,Mobile,Purchase,/home,Paid Search,109,60,35,163,799,260,1314
UK,2/26/2019 1:04:22 AM,Mobile,Subscribe,/about,Direct,115,61,4,718,214,73,1168
UK,2/26/2019 1:44:16 AM,Desktop,Sign Up,/home,Paid Search,150,46,3,236,1560,83,1307
USA,2/26/2019 2:06:14 AM,Desktop,Purchase,/blog,Social Media,59,46,23,81,1062,358,1184
Canada,2/26/2019 3:23:36 AM,Desktop,Sign Up,/about,Organic Search,109,48,16,981,1028,126,71
India,2/26/2019 3:40:08 PM,Tablet,Contact Form,/home,Social Media,68,27,4,304,955,352,874
Canada,2/27/2019 1:58:56 PM,Mobile,Contact Form,/blog,Social Media,120,54,8,204,245,299,605
Canada,2/27/2019 2:31:00 PM,Mobile,Download,/blog,Social Media,40,37,8,216,334,103,1073
USA,2/27/2019 7:23:35 PM,Desktop,Download,/home,Paid Search,163,23,46,232,740,265,227
Canada,2/27/2019 8:00:14 PM,Mobile,Subscribe,/home,Paid Search,62,38,36,734,936,182,1478
Canada,2/27/2019 10:22:01 PM,Mobile,Subscribe,/about,Social Media,116,51,9,171,1038,484,925
India,2/28/2019 9:45:25 AM,Desktop,Download,/contact,Referral,160,35,31,300,1355,231,1245
India,2/28/2019 9:52:39 AM,Desktop,Download,/home,Direct,168,58,4,780,161,139,1162
USA,2/28/2019 10:22:48 AM,Desktop,Subscribe,/blog,Organic Search,33,58,40,298,644,157,1206
India,3/1/2019 8:14:42 AM,Desktop,Subscribe,/about,Referral,35,37,34,707,341,184,242
UK,3/1/2019 1:44:43 PM,Tablet,Purchase,/contact,Referral,86,42,30,884,970,281,1110
UK,3/1/2019 10:49:25 PM,Desktop,Purchase,/blog,Social Media,53,32,29,398,1885,196,903
India,3/1/2019 10:52:04 PM,Tablet,Download,/contact,Social Media,132,43,36,289,1886,205,1295
India,3/3/2019 6:39:18 AM,Desktop,Purchase,/home,Organic Search,132,35,49,935,529,465,1212
USA,3/3/2019 7:32:14 AM,Desktop,Purchase,/products,Social Media,160,33,35,367,921,159,1290
Australia,3/3/2019 9:19:35 AM,Tablet,Subscribe,/contact,Organic Search,144,48,6,202,917,178,1467
Australia,3/4/2019 8:14:11 AM,Tablet,Purchase,/blog,Social Media,168,40,47,668,934,174,121
Canada,3/4/2019 8:51:24 AM,Tablet,Subscribe,/products,Organic Search,145,37,3,563,1092,24,599
India,3/5/2019 7:18:27 AM,Mobile,Download,/about,Direct,73,26,15,232,1481,450,146
USA,3/5/2019 1:58:48 PM,Tablet,Download,/home,Direct,49,69,29,844,472,72,93
UK,3/6/2019 12:36:34 AM,Mobile,Download,/about,Organic Search,163,54,13,272,1031,108,1375
Canada,3/6/2019 7:25:40 AM,Desktop,Purchase,/home,Direct,176,20,31,643,653,358,513
Canada,3/7/2019 2:13:52 AM,Tablet,Sign Up,/contact,Direct,48,46,12,408,179,312,613
USA,3/7/2019 4:41:03 AM,Mobile,Contact Form,/blog,Direct,58,58,18,377,480,455,1182
Australia,3/7/2019 11:57:05 AM,Tablet,Download,/home,Social Media,49,37,7,245,1335,492,1086
India,3/7/2019 12:30:00 PM,Mobile,Contact Form,/contact,Direct,139,40,3,588,1519,30,452
USA,3/7/2019 4:44:02 PM,Desktop,Sign Up,/about,Referral,41,42,30,639,1272,250,1361
USA,3/7/2019 9:23:40 PM,Mobile,Download,/blog,Paid Search,109,55,29,257,190,323,1105
Australia,3/8/2019 1:42:16 AM,Desktop,Subscribe,/about,Paid Search,70,22,19,96,605,167,1322
Australia,3/8/2019 12:49:01 PM,Tablet,Contact Form,/home,Direct,166,61,38,844,508,120,1364
Australia,3/8/2019 6:56:55 PM,Desktop,Subscribe,/contact,Organic Search,114,34,23,87,183,382,291
India,3/8/2019 8:45:16 PM,Mobile,Download,/contact,Paid Search,143,41,25,694,1561,172,250
Australia,3/9/2019 5:11:28 AM,Mobile,Sign Up,/home,Referral,162,52,14,133,1067,210,866
Australia,3/9/2019 8:51:12 PM,Tablet,Subscribe,/contact,Social Media,147,67,14,827,568,372,687
Australia,3/10/2019 12:27:07 AM,Tablet,Contact Form,/products,Direct,97,52,48,308,470,91,234
Australia,3/11/2019 1:47:53 PM,Desktop,Purchase,/home,Direct,98,33,2,106,1843,83,1254
Canada,3/12/2019 8:21:32 AM,Desktop,Contact Form,/about,Paid Search,65,25,19,404,353,341,1415
India,3/12/2019 10:43:38 AM,Tablet,Download,/about,Referral,132,30,38,472,1077,357,1253
USA,3/12/2019 12:08:24 PM,Tablet,Download,/blog,Direct,164,44,22,546,309,283,626
Australia,3/12/2019 1:55:44 PM,Tablet,Sign Up,/blog,Direct,116,31,32,818,1262,330,145
Australia,3/12/2019 2:25:22 PM,Desktop,Contact Form,/blog,Paid Search,133,67,43,943,834,7,784
UK,3/12/2019 3:50:19 PM,Mobile,Subscribe,/home,Paid Search,30,44,17,904,1391,290,1024
UK,3/13/2019 1:48:42 AM,Desktop,Download,/about,Referral,93,46,5,411,1897,410,249
USA,3/13/2019 4:29:34 AM,Mobile,Sign Up,/blog,Organic Search,68,20,36,46,1268,223,1255
UK,3/14/2019 12:32:21 AM,Tablet,Purchase,/blog,Organic Search,123,30,44,475,898,205,1107
India,3/14/2019 2:41:58 AM,Mobile,Purchase,/products,Direct,103,43,2,954,1419,325,632
India,3/14/2019 11:21:28 AM,Tablet,Purchase,/about,Paid Search,134,22,0,137,1425,182,279
USA,3/15/2019 3:51:47 AM,Desktop,Subscribe,/about,Direct,173,67,10,764,432,447,515
UK,3/15/2019 10:34:28 PM,Tablet,Download,/home,Referral,123,49,14,846,770,114,1434
Australia,3/16/2019 4:45:54 PM,Tablet,Subscribe,/about,Organic Search,147,27,10,325,713,415,1324
India,3/17/2019 5:10:27 AM,Desktop,Sign Up,/products,Direct,62,44,15,316,935,375,359
Australia,3/17/2019 9:15:26 AM,Tablet,Contact Form,/products,Direct,65,64,35,951,229,388,1101
UK,3/17/2019 12:46:35 PM,Mobile,Sign Up,/contact,Social Media,42,57,4,192,1296,50,791
Australia,3/17/2019 9:36:07 PM,Tablet,Contact Form,/home,Social Media,83,43,41,172,468,346,385
Australia,3/17/2019 10:49:44 PM,Mobile,Subscribe,/blog,Social Media,30,25,38,634,1223,364,1369
UK,3/17/2019 11:24:08 PM,Mobile,Contact Form,/blog,Referral,65,28,17,554,818,419,1003
India,3/18/2019 12:22:22 AM,Mobile,Contact Form,/about,Paid Search,113,66,16,974,532,366,774
India,3/18/2019 4:40:57 AM,Mobile,Subscribe,/home,Social Media,44,68,27,756,672,467,61
India,3/18/2019 7:52:42 AM,Desktop,Sign Up,/about,Paid Search,125,42,1,600,387,404,1347
USA,3/18/2019 12:53:56 PM,Desktop,Contact Form,/about,Paid Search,46,53,45,241,1992,316,1228
USA,3/18/2019 5:55:07 PM,Desktop,Purchase,/about,Referral,94,43,29,826,249,123,992
Canada,3/18/2019 6:58:36 PM,Tablet,Sign Up,/products,Direct,60,52,34,256,1153,390,1158
UK,3/19/2019 3:37:14 AM,Desktop,Sign Up,/blog,Referral,56,20,13,755,1786,93,221
Australia,3/19/2019 5:05:39 AM,Desktop,Subscribe,/blog,Direct,142,27,28,57,963,224,1255
USA,3/21/2019 11:46:38 AM,Mobile,Purchase,/products,Direct,50,27,16,705,1913,459,1150
India,3/21/2019 7:56:06 PM,Tablet,Download,/products,Referral,101,49,29,662,614,223,1344
USA,3/21/2019 9:01:29 PM,Desktop,Sign Up,/blog,Paid Search,151,62,4,995,235,123,1035
Australia,3/22/2019 10:08:55 AM,Mobile,Purchase,/blog,Referral,35,68,13,373,1642,246,1148
UK,3/22/2019 5:42:11 PM,Mobile,Sign Up,/home,Organic Search,68,28,22,544,1287,428,784
Australia,3/22/2019 11:03:01 PM,Mobile,Sign Up,/contact,Referral,112,35,36,741,1256,496,524
Canada,3/23/2019 5:02:00 AM,Tablet,Download,/products,Paid Search,93,59,5,974,1273,319,1284
India,3/23/2019 9:40:20 AM,Desktop,Sign Up,/blog,Referral,98,42,43,378,696,329,1205
Canada,3/23/2019 9:37:46 PM,Desktop,Contact Form,/blog,Direct,64,25,8,438,536,15,184
UK,3/24/2019 3:40:20 AM,Desktop,Sign Up,/contact,Social Media,120,25,42,421,1415,225,90
USA,3/24/2019 8:34:25 AM,Mobile,Download,/blog,Paid Search,42,65,45,285,1857,109,1051
Canada,3/24/2019 1:12:57 PM,Tablet,Subscribe,/home,Referral,104,20,17,11,1149,422,1452
Canada,3/25/2019 4:33:47 PM,Desktop,Sign Up,/blog,Paid Search,73,40,42,143,987,414,1404
Canada,3/26/2019 6:18:02 AM,Mobile,Contact Form,/home,Paid Search,164,29,25,462,491,70,439
India,3/26/2019 7:09:56 AM,Desktop,Download,/about,Paid Search,168,37,28,713,1752,119,57
UK,3/26/2019 9:21:13 AM,Desktop,Contact Form,/products,Paid Search,67,52,2,401,970,331,1271
India,3/26/2019 4:05:12 PM,Mobile,Sign Up,/home,Organic Search,81,34,36,936,1256,35,294
Australia,3/26/2019 4:18:46 PM,Mobile,Download,/about,Paid Search,92,23,42,957,939,16,461
Canada,3/27/2019 10:51:00 AM,Desktop,Purchase,/home,Social Media,150,21,44,271,540,239,150
USA,3/27/2019 1:34:07 PM,Tablet,Download,/about,Referral,119,37,20,476,597,153,865
India,3/29/2019 2:02:57 AM,Tablet,Subscribe,/home,Direct,49,57,39,791,998,240,87
India,3/29/2019 2:19:40 AM,Tablet,Download,/blog,Referral,55,28,34,677,1252,326,792
UK,3/29/2019 3:05:08 PM,Mobile,Sign Up,/contact,Paid Search,159,38,16,378,416,429,1068
India,3/29/2019 4:15:39 PM,Desktop,Sign Up,/contact,Organic Search,157,45,42,918,1222,346,178
USA,3/29/2019 11:51:59 PM,Mobile,Download,/home,Direct,138,26,1,529,1581,237,56
Canada,3/29/2019 11:57:51 PM,Mobile,Sign Up,/blog,Direct,168,43,49,815,767,244,70
USA,3/30/2019 11:15:02 AM,Tablet,Download,/about,Organic Search,86,64,45,169,890,28,187
USA,3/30/2019 1:11:54 PM,Mobile,Purchase,/home,Direct,109,21,44,112,1955,37,1138
India,3/30/2019 4:23:10 PM,Desktop,Download,/contact,Direct,67,62,11,229,1760,445,730
Canada,3/30/2019 5:06:34 PM,Desktop,Subscribe,/contact,Direct,94,61,41,64,1173,459,225
UK,3/31/2019 11:08:49 AM,Desktop,Contact Form,/home,Direct,63,61,12,455,489,249,1080
India,4/1/2019 2:16:41 AM,Mobile,Purchase,/contact,Direct,69,21,18,596,789,475,1211
Canada,4/2/2019 5:52:24 AM,Tablet,Contact Form,/blog,Referral,145,48,3,130,1711,25,637
India,4/2/2019 9:14:34 PM,Tablet,Contact Form,/blog,Direct,63,35,42,997,990,437,812
India,4/2/2019 9:58:58 PM,Mobile,Contact Form,/about,Paid Search,106,59,31,291,1715,34,790
Australia,4/3/2019 11:10:15 AM,Desktop,Download,/about,Organic Search,96,20,32,552,1011,424,1079
Australia,4/3/2019 2:54:33 PM,Mobile,Subscribe,/home,Social Media,31,51,35,312,1302,22,1092
UK,4/3/2019 7:42:28 PM,Mobile,Contact Form,/contact,Organic Search,61,24,14,472,1210,255,1237
USA,4/3/2019 8:56:04 PM,Mobile,Download,/about,Organic Search,115,52,19,33,787,187,1254
Canada,4/4/2019 3:50:22 PM,Desktop,Sign Up,/home,Social Media,42,64,27,141,1019,393,260
India,4/5/2019 2:10:16 PM,Tablet,Subscribe,/about,Organic Search,93,65,4,319,1712,266,1482
USA,4/5/2019 2:43:54 PM,Desktop,Contact Form,/blog,Organic Search,61,31,14,289,550,464,1017
UK,4/6/2019 12:06:56 PM,Desktop,Download,/products,Direct,148,41,33,496,316,460,504
Canada,4/7/2019 6:01:34 PM,Desktop,Sign Up,/contact,Direct,81,47,15,706,1019,473,488
UK,4/8/2019 12:42:08 AM,Desktop,Subscribe,/contact,Referral,126,61,29,797,527,440,658
